Animal,Symptom 1,Symptom 2,Symptom 3,Disease
cow,depression,difficulty walking,crackling sound,blackleg
buffalo,loss of appetite,depression,painless lumps,pneumonia
cow,crackling sound,swelling in muscle,loss of appetite,blackleg
goat,sweats,shortness of breath,chest discomfort,anthrax
cow,shortness of breath,fatigue,chest discomfort,anthrax
sheep,difficulty walking,loss of appetite,blisters on hooves,foot and mouth
cow,depression,loss of appetite,painless lumps,lumpy virus
sheep,depression,painless lumps,loss of appetite,lumpy virus
cow,painless lumps,depression,loss of appetite,lumpy virus
buffalo,painless lumps,loss of appetite,depression,pneumonia
goat,depression,loss of appetite,painless lumps,pneumonia
buffalo,blisters on mouth,lameness,loss of appetite,foot and mouth
sheep,depression,loss of appetite,painless lumps,pneumonia
cow,loss of appetite,depression,painless lumps,lumpy virus
sheep,sweats,fatigue,swelling in extremities,anthrax
cow,depression,painless lumps,loss of appetite,pneumonia
goat,depression,painless lumps,loss of appetite,lumpy virus
buffalo,difficulty walking,blisters on gums,loss of appetite,foot and mouth
buffalo,crackling sound,loss of appetite,depression,blackleg
cow,sweats,swelling in extremities,fatigue,anthrax
cow,loss of appetite,depression,painless lumps,pneumonia
sheep,lameness,loss of appetite,blisters on gums,foot and mouth
cow,depression,painless lumps,loss of appetite,pneumonia
buffalo,depression,loss of appetite,painless lumps,lumpy virus
goat,shortness of breath,sweats,swelling in extremities,anthrax
goat,shortness of breath,sweats,chest discomfort,anthrax
cow,depression,loss of appetite,painless lumps,lumpy virus
goat,loss of appetite,depression,crackling sound,blackleg
sheep,depression,loss of appetite,painless lumps,pneumonia
buffalo,depression,painless lumps,loss of appetite,lumpy virus
buffalo,loss of appetite,difficulty walking,depression,blackleg
sheep,loss of appetite,swelling in limb,lameness,blackleg
sheep,difficulty walking,blisters on tongue,loss of appetite,foot and mouth
buffalo,fatigue,shortness of breath,chills,anthrax
buffalo,chest discomfort,swelling in abdomen,fatigue,anthrax
buffalo,depression,loss of appetite,painless lumps,pneumonia
buffalo,loss of appetite,crackling sound,swelling in muscle,blackleg
goat,lameness,depression,loss of appetite,blackleg
buffalo,loss of appetite,depression,painless lumps,lumpy virus
cow,difficulty walking,blisters on hooves,loss of appetite,foot and mouth
cow,depression,painless lumps,loss of appetite,lumpy virus
goat,shortness of breath,fatigue,chills,anthrax
buffalo,swelling in muscle,lameness,crackling sound,blackleg
cow,loss of appetite,depression,painless lumps,lumpy virus
cow,painless lumps,loss of appetite,depression,pneumonia
buffalo,lameness,loss of appetite,sores on tongue,foot and mouth
buffalo,depression,loss of appetite,painless lumps,pneumonia
buffalo,loss of appetite,depression,painless lumps,lumpy virus
buffalo,depression,loss of appetite,painless lumps,lumpy virus
cow,chills,shortness of breath,sweats,anthrax
goat,depression,swelling in muscle,lameness,blackleg
sheep,painless lumps,depression,loss of appetite,pneumonia
goat,swelling in abdomen,sweats,chills,anthrax
buffalo,painless lumps,depression,loss of appetite,pneumonia
goat,loss of appetite,lameness,sores on gums,foot and mouth
goat,swelling in muscle,lameness,loss of appetite,blackleg
cow,chest discomfort,sweats,chills,anthrax
cow,depression,painless lumps,loss of appetite,lumpy virus
sheep,loss of appetite,lameness,blisters on tongue,foot and mouth
sheep,difficulty walking,crackling sound,depression,blackleg
cow,loss of appetite,crackling sound,depression,blackleg
sheep,loss of appetite,crackling sound,difficulty walking,blackleg
goat,crackling sound,swelling in limb,depression,blackleg
goat,swelling in neck,sweats,shortness of breath,anthrax
goat,fatigue,swelling in neck,sweats,anthrax
cow,depression,loss of appetite,painless lumps,pneumonia
cow,painless lumps,loss of appetite,depression,lumpy virus
sheep,chills,fatigue,shortness of breath,anthrax
sheep,blisters on tongue,loss of appetite,difficulty walking,foot and mouth
buffalo,sores on tongue,loss of appetite,lameness,foot and mouth
buffalo,chest discomfort,sweats,fatigue,anthrax
buffalo,painless lumps,depression,loss of appetite,lumpy virus
buffalo,chest discomfort,fatigue,shortness of breath,anthrax
cow,chills,fatigue,shortness of breath,anthrax
buffalo,lameness,blisters on gums,loss of appetite,foot and mouth
cow,shortness of breath,sweats,swelling in neck,anthrax
sheep,loss of appetite,depression,difficulty walking,blackleg
cow,difficulty walking,loss of appetite,sores on gums,foot and mouth
buffalo,shortness of breath,sweats,swelling in neck,anthrax
buffalo,chills,chest discomfort,shortness of breath,anthrax
buffalo,loss of appetite,depression,painless lumps,pneumonia
cow,swelling in limb,lameness,depression,blackleg
sheep,loss of appetite,depression,crackling sound,blackleg
buffalo,painless lumps,loss of appetite,depression,lumpy virus
cow,shortness of breath,fatigue,chills,anthrax
buffalo,lameness,loss of appetite,crackling sound,blackleg
buffalo,difficulty walking,loss of appetite,blisters on hooves,foot and mouth
sheep,crackling sound,lameness,depression,blackleg
sheep,depression,painless lumps,loss of appetite,pneumonia
buffalo,fatigue,swelling in extremities,chills,anthrax
buffalo,loss of appetite,lameness,blisters on gums,foot and mouth
cow,loss of appetite,painless lumps,depression,pneumonia
goat,loss of appetite,depression,painless lumps,pneumonia
sheep,crackling sound,difficulty walking,loss of appetite,blackleg
sheep,loss of appetite,difficulty walking,crackling sound,blackleg
buffalo,loss of appetite,crackling sound,difficulty walking,blackleg
cow,loss of appetite,swelling in limb,depression,blackleg
sheep,shortness of breath,sweats,fatigue,anthrax
buffalo,difficulty walking,loss of appetite,sores on tongue,foot and mouth
sheep,loss of appetite,painless lumps,depression,lumpy virus
goat,difficulty walking,swelling in limb,depression,blackleg
sheep,painless lumps,depression,loss of appetite,pneumonia
cow,sweats,chest discomfort,fatigue,anthrax
buffalo,swelling in muscle,lameness,depression,blackleg
buffalo,depression,loss of appetite,painless lumps,lumpy virus
sheep,painless lumps,depression,loss of appetite,pneumonia
goat,loss of appetite,depression,painless lumps,lumpy virus
cow,crackling sound,lameness,swelling in muscle,blackleg
goat,loss of appetite,painless lumps,depression,lumpy virus
sheep,loss of appetite,sores on gums,lameness,foot and mouth
cow,swelling in limb,loss of appetite,depression,blackleg
sheep,loss of appetite,depression,painless lumps,pneumonia
cow,loss of appetite,crackling sound,swelling in limb,blackleg
sheep,loss of appetite,swelling in muscle,difficulty walking,blackleg
cow,chest discomfort,shortness of breath,fatigue,anthrax
sheep,blisters on mouth,loss of appetite,lameness,foot and mouth
goat,chills,fatigue,sweats,anthrax
sheep,loss of appetite,painless lumps,depression,pneumonia
cow,chills,sweats,fatigue,anthrax
buffalo,lameness,blisters on mouth,loss of appetite,foot and mouth
goat,painless lumps,depression,loss of appetite,pneumonia
goat,loss of appetite,depression,painless lumps,pneumonia
cow,swelling in neck,shortness of breath,chest discomfort,anthrax
goat,shortness of breath,chills,chest discomfort,anthrax
buffalo,lameness,loss of appetite,blisters on mouth,foot and mouth
cow,loss of appetite,painless lumps,depression,lumpy virus
cow,loss of appetite,depression,painless lumps,lumpy virus
goat,lameness,loss of appetite,sores on tongue,foot and mouth
sheep,sores on tongue,loss of appetite,lameness,foot and mouth
sheep,depression,loss of appetite,crackling sound,blackleg
buffalo,painless lumps,depression,loss of appetite,lumpy virus
cow,crackling sound,swelling in limb,lameness,blackleg
goat,sweats,fatigue,swelling in extremities,anthrax
sheep,painless lumps,loss of appetite,depression,pneumonia
goat,depression,loss of appetite,crackling sound,blackleg
buffalo,fatigue,sweats,chills,anthrax
goat,blisters on hooves,loss of appetite,lameness,foot and mouth
buffalo,painless lumps,depression,loss of appetite,lumpy virus
sheep,sweats,swelling in neck,fatigue,anthrax
goat,depression,loss of appetite,swelling in limb,blackleg
sheep,swelling in neck,sweats,chest discomfort,anthrax
sheep,crackling sound,loss of appetite,depression,blackleg
goat,depression,painless lumps,loss of appetite,pneumonia
cow,depression,loss of appetite,painless lumps,lumpy virus
sheep,loss of appetite,painless lumps,depression,pneumonia
goat,depression,painless lumps,loss of appetite,pneumonia
sheep,loss of appetite,swelling in muscle,crackling sound,blackleg
goat,loss of appetite,difficulty walking,blisters on gums,foot and mouth
sheep,depression,loss of appetite,swelling in muscle,blackleg
sheep,lameness,blisters on tongue,loss of appetite,foot and mouth
cow,loss of appetite,depression,painless lumps,lumpy virus
sheep,loss of appetite,blisters on hooves,difficulty walking,foot and mouth
sheep,loss of appetite,sores on mouth,lameness,foot and mouth
buffalo,loss of appetite,depression,painless lumps,lumpy virus
goat,lameness,loss of appetite,sores on hooves,foot and mouth
sheep,loss of appetite,difficulty walking,sores on hooves,foot and mouth
sheep,sweats,swelling in abdomen,shortness of breath,anthrax
cow,painless lumps,loss of appetite,depression,lumpy virus
cow,chills,shortness of breath,fatigue,anthrax
cow,difficulty walking,crackling sound,loss of appetite,blackleg
goat,loss of appetite,swelling in muscle,crackling sound,blackleg
sheep,shortness of breath,swelling in neck,chest discomfort,anthrax
cow,blisters on hooves,loss of appetite,difficulty walking,foot and mouth
buffalo,loss of appetite,crackling sound,difficulty walking,blackleg
goat,blisters on gums,loss of appetite,difficulty walking,foot and mouth
goat,crackling sound,depression,loss of appetite,blackleg
goat,painless lumps,loss of appetite,depression,lumpy virus
buffalo,fatigue,swelling in neck,chills,anthrax
sheep,lameness,loss of appetite,crackling sound,blackleg
buffalo,swelling in muscle,lameness,depression,blackleg
buffalo,difficulty walking,blisters on mouth,loss of appetite,foot and mouth
goat,depression,loss of appetite,swelling in muscle,blackleg
buffalo,depression,difficulty walking,crackling sound,blackleg
goat,loss of appetite,depression,painless lumps,pneumonia
goat,lameness,loss of appetite,sores on gums,foot and mouth
cow,swelling in muscle,crackling sound,loss of appetite,blackleg
buffalo,depression,painless lumps,loss of appetite,lumpy virus
sheep,lameness,loss of appetite,swelling in limb,blackleg
cow,loss of appetite,difficulty walking,blisters on gums,foot and mouth
sheep,crackling sound,swelling in limb,difficulty walking,blackleg
sheep,shortness of breath,chest discomfort,swelling in neck,anthrax
goat,depression,swelling in muscle,lameness,blackleg
sheep,loss of appetite,depression,painless lumps,lumpy virus
goat,loss of appetite,depression,painless lumps,pneumonia
goat,shortness of breath,chills,swelling in abdomen,anthrax
goat,loss of appetite,lameness,sores on hooves,foot and mouth
buffalo,difficulty walking,sores on hooves,loss of appetite,foot and mouth
sheep,depression,lameness,swelling in muscle,blackleg
sheep,crackling sound,depression,swelling in muscle,blackleg
goat,lameness,loss of appetite,crackling sound,blackleg
cow,loss of appetite,difficulty walking,sores on mouth,foot and mouth
buffalo,loss of appetite,depression,crackling sound,blackleg
buffalo,difficulty walking,loss of appetite,blisters on gums,foot and mouth
cow,painless lumps,loss of appetite,depression,lumpy virus
sheep,difficulty walking,swelling in limb,crackling sound,blackleg
buffalo,depression,painless lumps,loss of appetite,lumpy virus
cow,depression,painless lumps,loss of appetite,lumpy virus
sheep,depression,loss of appetite,painless lumps,lumpy virus
buffalo,depression,loss of appetite,painless lumps,lumpy virus
sheep,swelling in limb,crackling sound,depression,blackleg
buffalo,loss of appetite,painless lumps,depression,pneumonia
buffalo,loss of appetite,depression,painless lumps,lumpy virus
buffalo,loss of appetite,blisters on gums,difficulty walking,foot and mouth
sheep,lameness,depression,loss of appetite,blackleg
sheep,loss of appetite,painless lumps,depression,pneumonia
cow,depression,swelling in limb,difficulty walking,blackleg
buffalo,crackling sound,swelling in limb,loss of appetite,blackleg
goat,fatigue,chest discomfort,shortness of breath,anthrax
sheep,blisters on gums,loss of appetite,lameness,foot and mouth
cow,painless lumps,depression,loss of appetite,lumpy virus
sheep,loss of appetite,difficulty walking,blisters on gums,foot and mouth
cow,sores on tongue,difficulty walking,loss of appetite,foot and mouth
cow,shortness of breath,chills,sweats,anthrax
goat,fatigue,swelling in abdomen,chills,anthrax
cow,chest discomfort,fatigue,shortness of breath,anthrax
buffalo,sores on tongue,loss of appetite,difficulty walking,foot and mouth
sheep,sores on hooves,lameness,loss of appetite,foot and mouth
sheep,chills,fatigue,chest discomfort,anthrax
goat,fatigue,sweats,chills,anthrax
cow,swelling in limb,loss of appetite,crackling sound,blackleg
buffalo,loss of appetite,sores on tongue,lameness,foot and mouth
sheep,difficulty walking,loss of appetite,blisters on hooves,foot and mouth
cow,loss of appetite,depression,painless lumps,pneumonia
buffalo,difficulty walking,loss of appetite,blisters on hooves,foot and mouth
goat,loss of appetite,depression,painless lumps,lumpy virus
sheep,loss of appetite,lameness,blisters on hooves,foot and mouth
buffalo,loss of appetite,crackling sound,depression,blackleg
sheep,lameness,swelling in muscle,depression,blackleg
goat,painless lumps,depression,loss of appetite,pneumonia
buffalo,loss of appetite,depression,painless lumps,pneumonia
cow,loss of appetite,difficulty walking,blisters on hooves,foot and mouth
goat,depression,loss of appetite,painless lumps,pneumonia
sheep,loss of appetite,painless lumps,depression,pneumonia
buffalo,depression,difficulty walking,swelling in muscle,blackleg
goat,loss of appetite,depression,lameness,blackleg
goat,depression,painless lumps,loss of appetite,pneumonia
goat,sweats,chest discomfort,shortness of breath,anthrax
goat,loss of appetite,difficulty walking,sores on mouth,foot and mouth
cow,swelling in abdomen,chest discomfort,shortness of breath,anthrax
sheep,loss of appetite,painless lumps,depression,lumpy virus
buffalo,depression,loss of appetite,painless lumps,pneumonia
sheep,chills,swelling in extremities,sweats,anthrax
goat,lameness,crackling sound,loss of appetite,blackleg
cow,chills,sweats,swelling in neck,anthrax
cow,swelling in muscle,depression,lameness,blackleg
buffalo,shortness of breath,sweats,swelling in neck,anthrax
goat,loss of appetite,lameness,blisters on hooves,foot and mouth
cow,fatigue,chest discomfort,swelling in extremities,anthrax
buffalo,blisters on tongue,difficulty walking,loss of appetite,foot and mouth
buffalo,crackling sound,difficulty walking,loss of appetite,blackleg
buffalo,blisters on gums,difficulty walking,loss of appetite,foot and mouth
sheep,depression,loss of appetite,painless lumps,lumpy virus
cow,lameness,blisters on tongue,loss of appetite,foot and mouth
buffalo,shortness of breath,fatigue,chest discomfort,anthrax
sheep,depression,loss of appetite,difficulty walking,blackleg
goat,crackling sound,swelling in limb,depression,blackleg
sheep,depression,painless lumps,loss of appetite,pneumonia
sheep,painless lumps,loss of appetite,depression,pneumonia
sheep,chills,shortness of breath,fatigue,anthrax
sheep,swelling in limb,loss of appetite,crackling sound,blackleg
goat,loss of appetite,blisters on mouth,lameness,foot and mouth
buffalo,depression,painless lumps,loss of appetite,pneumonia
goat,painless lumps,depression,loss of appetite,lumpy virus
buffalo,crackling sound,lameness,depression,blackleg
cow,crackling sound,depression,swelling in limb,blackleg
cow,shortness of breath,chest discomfort,chills,anthrax
buffalo,depression,painless lumps,loss of appetite,lumpy virus
cow,swelling in limb,lameness,crackling sound,blackleg
goat,depression,crackling sound,loss of appetite,blackleg
cow,loss of appetite,depression,painless lumps,pneumonia
buffalo,swelling in abdomen,fatigue,chills,anthrax
goat,painless lumps,loss of appetite,depression,pneumonia
goat,depression,loss of appetite,painless lumps,pneumonia
cow,painless lumps,depression,loss of appetite,pneumonia
sheep,depression,difficulty walking,crackling sound,blackleg
buffalo,depression,loss of appetite,painless lumps,pneumonia
sheep,loss of appetite,depression,painless lumps,lumpy virus
cow,lameness,sores on gums,loss of appetite,foot and mouth
cow,loss of appetite,depression,painless lumps,pneumonia
buffalo,sores on hooves,loss of appetite,lameness,foot and mouth
buffalo,painless lumps,loss of appetite,depression,lumpy virus
goat,blisters on gums,loss of appetite,lameness,foot and mouth
cow,chills,fatigue,chest discomfort,anthrax
buffalo,crackling sound,loss of appetite,depression,blackleg
cow,fatigue,swelling in extremities,chest discomfort,anthrax
sheep,difficulty walking,sores on gums,loss of appetite,foot and mouth
goat,loss of appetite,painless lumps,depression,pneumonia
sheep,swelling in extremities,fatigue,shortness of breath,anthrax
buffalo,painless lumps,loss of appetite,depression,lumpy virus
goat,chills,swelling in abdomen,shortness of breath,anthrax
goat,depression,painless lumps,loss of appetite,pneumonia
goat,crackling sound,lameness,loss of appetite,blackleg
sheep,blisters on hooves,difficulty walking,loss of appetite,foot and mouth
goat,swelling in neck,chills,fatigue,anthrax
cow,loss of appetite,painless lumps,depression,lumpy virus
buffalo,difficulty walking,loss of appetite,blisters on gums,foot and mouth
cow,loss of appetite,difficulty walking,sores on mouth,foot and mouth
goat,loss of appetite,depression,swelling in muscle,blackleg
cow,swelling in neck,shortness of breath,sweats,anthrax
buffalo,sores on mouth,loss of appetite,difficulty walking,foot and mouth
cow,sweats,chest discomfort,swelling in extremities,anthrax
sheep,lameness,loss of appetite,crackling sound,blackleg
buffalo,sores on hooves,loss of appetite,lameness,foot and mouth
goat,blisters on hooves,loss of appetite,lameness,foot and mouth
sheep,painless lumps,loss of appetite,depression,pneumonia
buffalo,sores on gums,loss of appetite,difficulty walking,foot and mouth
buffalo,loss of appetite,sores on gums,lameness,foot and mouth
buffalo,loss of appetite,difficulty walking,swelling in muscle,blackleg
cow,loss of appetite,painless lumps,depression,pneumonia
buffalo,depression,loss of appetite,painless lumps,lumpy virus
buffalo,difficulty walking,sores on tongue,loss of appetite,foot and mouth
cow,sweats,chills,chest discomfort,anthrax
sheep,shortness of breath,chest discomfort,fatigue,anthrax
buffalo,loss of appetite,painless lumps,depression,pneumonia
sheep,swelling in muscle,crackling sound,loss of appetite,blackleg
goat,chills,shortness of breath,sweats,anthrax
goat,loss of appetite,crackling sound,swelling in muscle,blackleg
cow,depression,painless lumps,loss of appetite,pneumonia
cow,depression,loss of appetite,painless lumps,lumpy virus
goat,loss of appetite,crackling sound,depression,blackleg
buffalo,lameness,loss of appetite,sores on gums,foot and mouth
goat,sweats,swelling in neck,chills,anthrax
goat,swelling in neck,chills,sweats,anthrax
sheep,loss of appetite,lameness,crackling sound,blackleg
sheep,swelling in extremities,chest discomfort,shortness of breath,anthrax
cow,sores on gums,difficulty walking,loss of appetite,foot and mouth
cow,sores on tongue,difficulty walking,loss of appetite,foot and mouth
cow,loss of appetite,difficulty walking,sores on mouth,foot and mouth
sheep,swelling in muscle,lameness,crackling sound,blackleg
buffalo,swelling in limb,loss of appetite,crackling sound,blackleg
goat,loss of appetite,difficulty walking,swelling in muscle,blackleg
goat,loss of appetite,lameness,swelling in limb,blackleg
sheep,loss of appetite,painless lumps,depression,pneumonia
cow,sores on mouth,lameness,loss of appetite,foot and mouth
cow,swelling in extremities,chills,fatigue,anthrax
cow,fatigue,chest discomfort,chills,anthrax
cow,swelling in abdomen,chest discomfort,shortness of breath,anthrax
buffalo,lameness,loss of appetite,blisters on gums,foot and mouth
sheep,depression,difficulty walking,swelling in limb,blackleg
sheep,chills,shortness of breath,sweats,anthrax
cow,shortness of breath,chills,fatigue,anthrax
goat,sweats,chills,fatigue,anthrax
buffalo,depression,lameness,swelling in limb,blackleg
goat,lameness,blisters on tongue,loss of appetite,foot and mouth
buffalo,shortness of breath,sweats,chest discomfort,anthrax
cow,loss of appetite,painless lumps,depression,pneumonia
sheep,difficulty walking,swelling in muscle,crackling sound,blackleg
goat,depression,loss of appetite,swelling in muscle,blackleg
buffalo,crackling sound,difficulty walking,loss of appetite,blackleg
sheep,loss of appetite,depression,swelling in muscle,blackleg
buffalo,depression,painless lumps,loss of appetite,lumpy virus
goat,shortness of breath,swelling in neck,chest discomfort,anthrax
sheep,chest discomfort,fatigue,chills,anthrax
buffalo,difficulty walking,loss of appetite,sores on gums,foot and mouth
goat,shortness of breath,chills,chest discomfort,anthrax
goat,painless lumps,loss of appetite,depression,lumpy virus
cow,loss of appetite,lameness,swelling in limb,blackleg
goat,difficulty walking,loss of appetite,blisters on gums,foot and mouth
cow,blisters on mouth,difficulty walking,loss of appetite,foot and mouth
sheep,loss of appetite,sores on hooves,lameness,foot and mouth
goat,chills,shortness of breath,swelling in abdomen,anthrax
goat,loss of appetite,painless lumps,depression,lumpy virus
goat,swelling in neck,chest discomfort,fatigue,anthrax
sheep,depression,loss of appetite,painless lumps,lumpy virus
sheep,swelling in limb,crackling sound,lameness,blackleg
buffalo,shortness of breath,swelling in neck,chest discomfort,anthrax
sheep,blisters on hooves,difficulty walking,loss of appetite,foot and mouth
buffalo,crackling sound,depression,lameness,blackleg
cow,loss of appetite,painless lumps,depression,pneumonia
goat,chills,swelling in extremities,chest discomfort,anthrax
goat,loss of appetite,painless lumps,depression,lumpy virus
sheep,depression,lameness,crackling sound,blackleg
buffalo,depression,painless lumps,loss of appetite,pneumonia
buffalo,painless lumps,loss of appetite,depression,lumpy virus
cow,chills,fatigue,shortness of breath,anthrax
goat,loss of appetite,blisters on gums,lameness,foot and mouth
sheep,loss of appetite,painless lumps,depression,pneumonia
cow,loss of appetite,swelling in muscle,depression,blackleg
goat,blisters on mouth,difficulty walking,loss of appetite,foot and mouth
cow,depression,loss of appetite,painless lumps,lumpy virus
sheep,chills,shortness of breath,sweats,anthrax
sheep,crackling sound,swelling in muscle,depression,blackleg
cow,loss of appetite,blisters on hooves,difficulty walking,foot and mouth
buffalo,sweats,swelling in neck,shortness of breath,anthrax
goat,sores on mouth,lameness,loss of appetite,foot and mouth
goat,sweats,shortness of breath,chest discomfort,anthrax
cow,fatigue,sweats,chills,anthrax
cow,difficulty walking,loss of appetite,blisters on gums,foot and mouth
buffalo,difficulty walking,swelling in limb,loss of appetite,blackleg
sheep,chills,chest discomfort,sweats,anthrax
cow,painless lumps,depression,loss of appetite,pneumonia
cow,blisters on hooves,loss of appetite,difficulty walking,foot and mouth
sheep,loss of appetite,difficulty walking,blisters on hooves,foot and mouth
cow,swelling in abdomen,sweats,chills,anthrax
buffalo,swelling in extremities,fatigue,chest discomfort,anthrax
goat,swelling in abdomen,chest discomfort,shortness of breath,anthrax
goat,loss of appetite,blisters on mouth,lameness,foot and mouth
cow,sores on mouth,lameness,loss of appetite,foot and mouth
goat,swelling in muscle,depression,crackling sound,blackleg
goat,difficulty walking,loss of appetite,blisters on mouth,foot and mouth
cow,blisters on gums,loss of appetite,lameness,foot and mouth
goat,shortness of breath,chest discomfort,chills,anthrax
cow,loss of appetite,depression,painless lumps,lumpy virus
buffalo,shortness of breath,fatigue,sweats,anthrax
sheep,lameness,loss of appetite,sores on mouth,foot and mouth
cow,difficulty walking,swelling in limb,crackling sound,blackleg
goat,loss of appetite,blisters on hooves,lameness,foot and mouth
goat,depression,loss of appetite,painless lumps,pneumonia
goat,swelling in limb,difficulty walking,crackling sound,blackleg
buffalo,sores on gums,lameness,loss of appetite,foot and mouth
goat,sores on hooves,difficulty walking,loss of appetite,foot and mouth
cow,sores on gums,loss of appetite,lameness,foot and mouth
goat,blisters on hooves,loss of appetite,difficulty walking,foot and mouth
sheep,loss of appetite,blisters on mouth,lameness,foot and mouth
buffalo,sweats,swelling in neck,shortness of breath,anthrax
buffalo,painless lumps,loss of appetite,depression,lumpy virus
cow,lameness,loss of appetite,sores on mouth,foot and mouth
goat,sweats,fatigue,shortness of breath,anthrax
buffalo,sweats,chills,swelling in extremities,anthrax
sheep,chills,fatigue,sweats,anthrax
goat,loss of appetite,depression,painless lumps,pneumonia
goat,loss of appetite,painless lumps,depression,lumpy virus
buffalo,sweats,swelling in neck,chills,anthrax
sheep,depression,loss of appetite,painless lumps,pneumonia
goat,lameness,loss of appetite,sores on mouth,foot and mouth
goat,loss of appetite,depression,painless lumps,pneumonia
buffalo,sores on mouth,difficulty walking,loss of appetite,foot and mouth
goat,loss of appetite,painless lumps,depression,pneumonia
buffalo,loss of appetite,crackling sound,depression,blackleg
goat,painless lumps,loss of appetite,depression,pneumonia
buffalo,chills,sweats,chest discomfort,anthrax
sheep,loss of appetite,blisters on hooves,difficulty walking,foot and mouth
cow,loss of appetite,blisters on hooves,lameness,foot and mouth
goat,depression,crackling sound,swelling in limb,blackleg
cow,loss of appetite,painless lumps,depression,pneumonia
buffalo,painless lumps,depression,loss of appetite,lumpy virus
cow,loss of appetite,difficulty walking,sores on mouth,foot and mouth
buffalo,swelling in neck,fatigue,shortness of breath,anthrax
buffalo,chills,chest discomfort,swelling in neck,anthrax
goat,lameness,depression,loss of appetite,blackleg
cow,lameness,crackling sound,loss of appetite,blackleg
sheep,swelling in muscle,depression,loss of appetite,blackleg
buffalo,difficulty walking,sores on hooves,loss of appetite,foot and mouth
cow,chest discomfort,shortness of breath,swelling in neck,anthrax
goat,loss of appetite,lameness,sores on mouth,foot and mouth
goat,swelling in muscle,crackling sound,depression,blackleg
cow,loss of appetite,depression,painless lumps,lumpy virus
buffalo,lameness,depression,swelling in limb,blackleg
cow,painless lumps,loss of appetite,depression,lumpy virus
cow,crackling sound,swelling in limb,loss of appetite,blackleg
goat,depression,loss of appetite,painless lumps,lumpy virus
sheep,lameness,crackling sound,swelling in muscle,blackleg
goat,lameness,loss of appetite,blisters on mouth,foot and mouth
cow,difficulty walking,blisters on hooves,loss of appetite,foot and mouth
sheep,sores on gums,difficulty walking,loss of appetite,foot and mouth
goat,lameness,sores on gums,loss of appetite,foot and mouth
goat,chills,fatigue,chest discomfort,anthrax
goat,depression,painless lumps,loss of appetite,lumpy virus
goat,depression,painless lumps,loss of appetite,pneumonia
cow,blisters on hooves,lameness,loss of appetite,foot and mouth
buffalo,swelling in limb,crackling sound,loss of appetite,blackleg
cow,depression,swelling in muscle,loss of appetite,blackleg
buffalo,depression,loss of appetite,painless lumps,pneumonia
buffalo,lameness,sores on gums,loss of appetite,foot and mouth
buffalo,swelling in extremities,sweats,shortness of breath,anthrax
cow,loss of appetite,painless lumps,depression,pneumonia
cow,painless lumps,depression,loss of appetite,pneumonia
sheep,sweats,chest discomfort,shortness of breath,anthrax
cow,depression,loss of appetite,painless lumps,pneumonia
buffalo,depression,painless lumps,loss of appetite,pneumonia
sheep,blisters on hooves,lameness,loss of appetite,foot and mouth
goat,chills,fatigue,swelling in abdomen,anthrax
goat,difficulty walking,loss of appetite,sores on hooves,foot and mouth
cow,shortness of breath,chest discomfort,fatigue,anthrax
goat,painless lumps,depression,loss of appetite,pneumonia
sheep,shortness of breath,chest discomfort,chills,anthrax
buffalo,depression,loss of appetite,painless lumps,lumpy virus
buffalo,painless lumps,loss of appetite,depression,lumpy virus
buffalo,loss of appetite,painless lumps,depression,pneumonia
buffalo,loss of appetite,lameness,sores on mouth,foot and mouth
buffalo,chest discomfort,chills,sweats,anthrax
goat,painless lumps,depression,loss of appetite,lumpy virus
goat,loss of appetite,swelling in limb,difficulty walking,blackleg
goat,crackling sound,swelling in limb,lameness,blackleg
sheep,fatigue,chills,swelling in extremities,anthrax
sheep,sweats,chills,chest discomfort,anthrax
cow,loss of appetite,painless lumps,depression,lumpy virus
cow,sweats,fatigue,chills,anthrax
sheep,crackling sound,swelling in muscle,depression,blackleg
sheep,difficulty walking,loss of appetite,sores on hooves,foot and mouth
cow,fatigue,shortness of breath,swelling in abdomen,anthrax
buffalo,depression,loss of appetite,painless lumps,pneumonia
sheep,crackling sound,difficulty walking,depression,blackleg
sheep,sores on hooves,difficulty walking,loss of appetite,foot and mouth
goat,difficulty walking,sores on mouth,loss of appetite,foot and mouth
buffalo,depression,painless lumps,loss of appetite,lumpy virus
cow,lameness,loss of appetite,sores on tongue,foot and mouth
cow,painless lumps,depression,loss of appetite,pneumonia
buffalo,crackling sound,swelling in muscle,loss of appetite,blackleg
buffalo,swelling in limb,difficulty walking,crackling sound,blackleg
buffalo,painless lumps,depression,loss of appetite,pneumonia
goat,painless lumps,loss of appetite,depression,pneumonia
cow,painless lumps,depression,loss of appetite,lumpy virus
buffalo,loss of appetite,painless lumps,depression,lumpy virus
buffalo,blisters on tongue,loss of appetite,lameness,foot and mouth
goat,depression,painless lumps,loss of appetite,lumpy virus
goat,fatigue,chest discomfort,chills,anthrax
sheep,difficulty walking,loss of appetite,sores on mouth,foot and mouth
buffalo,loss of appetite,swelling in muscle,crackling sound,blackleg
sheep,sores on tongue,loss of appetite,difficulty walking,foot and mouth
buffalo,loss of appetite,painless lumps,depression,pneumonia
cow,blisters on hooves,loss of appetite,difficulty walking,foot and mouth
goat,chest discomfort,shortness of breath,swelling in extremities,anthrax
buffalo,loss of appetite,painless lumps,depression,lumpy virus
